recursion, loop, algo, allowedP, trueP, n, sentinel, time, 
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 64, 8.48267, 9.81e-05
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 76, 0.649002, 0.0002119
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 90, 6.17745, 0.0001302
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 107, 4.0058, 0.0001631
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 128, 6.99139, 0.0001769
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 152, 12.8346, 0.000217
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 181, 3.00734, 0.0002261
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 215, 3.89364, 0.0002564
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 256, 7.77228, 0.0003162
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 304, 6.2474, 0.0003953
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 362, 12.3514, 0.000412
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 430, 11.1336, 0.0004978
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 512, 6.38456, 0.0005014
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 608, 18.3453, 0.0007819
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 724, 6.05831, 0.0008986
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 861, 5.95193, 0.0008162
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1024, 15.0743, 0.0009486
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1217, 25.349, 0.001521
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1448, 22.9566, 0.0014438
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1722, 15.9214, 0.0016253
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 2048, 50.2559, 0.0018927
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 2435, 31.2571, 0.0034512
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 2896, 13.6187, 0.0029648
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 3444, 16.7054, 0.0032233
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 4096, 41.5433, 0.003658
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 4870, 84.8676, 0.0064047
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 5792, 20.4682, 0.0069543
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 6888, 44.0272, 0.0080144
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 8192, 105.398, 0.0103965
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 9741, 50.2525, 0.014364
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 11585, 102.396, 0.0133776
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 13777, 48.408, 0.0152841
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 16384, 83.2001, 0.0151962
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 19483, 75.1435, 0.0251896
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 23170, 57.7327, 0.0263199
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 27554, 131.97, 0.0289684
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 32768, 114.539, 0.0347943
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 38967, 204.035, 0.0534631
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 46340, 106.822, 0.0563207
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 55108, 91.965, 0.0603646
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 65536, 61.2098, 0.0691184
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 77935, 232.701, 0.114002
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 92681, 34.833, 0.124474
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 110217, 158.456, 0.136947
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 131072, 343.686, 0.146201
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 155871, 106.199, 0.265543
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 185363, 146.588, 0.271238
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 220435, 118.499, 0.284427
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 262144, 313.594, 0.331427
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 311743, 382.887, 0.514235
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 370727, 280.517, 0.54101
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 440871, 118.337, 0.586676
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 524288, 309.047, 0.657389
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 623487, 655.52, 1.11845
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 741455, 96.6169, 1.22499
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 881743, 161.942, 1.29804
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1048576, 550.877, 1.5771
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1246974, 103.408, 2.51769
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1482910, 265.466, 2.57688
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1763487, 1022.81, 2.69888
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 2097152, 1672.13, 3.0918
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 2493948, 1085.24, 5.23434
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 2965820, 473.371, 5.20427
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 3526975, 836.634, 5.59347
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 4194304, 1679.33, 6.09693
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 4987896, 768.932, 10.2959
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 5931641, 559.983, 11.3893
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 7053950, 1307.88, 13.2777
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 8388608, 2882.48, 13.5121
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 9975792, 3553.85, 21.513
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 11863283, 1940.72, 23.1476
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 14107900, 1159.23, 24.9531
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 16777216, 3402.48, 28.2385
1 - 1, hpce.fast_fourier_transform_combined, 8, 8, 19951584, 2187.89, 45.1683
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 16, 5.08428, 2.37e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 19, 3.74151, 4.7e-06
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 22, 2.7268, 2.9e-06
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 26, 3.69267, 4e-06
